Desc	Family ID	FRAX00	FRAX01	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33	Oeuropea	Mguttatus	Slycopersicum
JSG14444	14444	110	108	105	90	105	95	108	109	109	91	110	97	104	95	95	86	93	86	95	98	112	84	110	109	105	69	110	110	209	74	75
JSG28342	28342	22	106	93	79	114	100	102	92	110	85	91	97	100	95	86	102	97	87	91	87	101	87	93	107	94	84	98	105	23	0	0
JSG40369	40369	79	78	77	74	82	75	82	78	88	91	71	78	64	70	63	81	74	80	73	78	85	82	79	85	75	78	81	90	102	54	48
JSG32193	32193	76	67	67	66	68	72	71	61	70	72	68	72	67	69	60	71	58	61	68	65	69	71	68	74	66	59	66	69	109	89	75
JSG02784	2784	49	64	59	54	73	72	79	68	63	72	68	63	60	59	59	61	52	71	52	55	58	63	75	71	76	54	66	65	200	43	15
JSG00139	139	74	68	58	58	63	66	69	57	66	66	65	62	61	67	56	72	62	62	68	65	70	65	73	65	73	62	71	71	90	47	31
JSG23151	23151	29	71	72	55	76	72	82	76	85	53	80	70	63	73	68	66	57	53	68	37	70	54	80	80	67	22	79	72	47	4	8
JSG17813	17813	75	61	62	55	66	62	61	51	65	64	55	57	64	54	51	60	56	55	62	53	61	65	61	60	55	64	57	68	71	43	42
JSG10507	10507	61	49	59	44	56	61	64	58	58	48	53	50	45	48	52	51	42	49	53	46	62	49	58	55	66	45	53	54	49	34	29
JSG33528	33528	59	50	52	40	50	50	52	51	49	46	49	46	38	51	50	49	47	46	45	46	48	41	48	59	50	41	53	55	81	35	76
JSG27510	27510	43	41	36	35	40	38	38	45	38	39	42	43	35	32	34	43	39	49	32	36	39	30	43	51	43	36	44	41	118	104	48
JSG02065	2065	53	38	48	45	45	53	48	36	58	55	44	41	39	37	34	48	32	43	38	36	51	44	41	40	43	45	43	47	75	25	29
JSG43071	43071	63	37	43	35	49	42	57	53	53	34	51	43	43	38	36	45	40	44	40	40	48	37	50	54	46	29	49	43	85	25	13
JSG17559	17559	43	42	39	43	44	41	40	47	43	47	37	42	38	40	42	45	41	36	43	39	46	43	43	44	41	47	40	43	42	37	34
JSG19154	19154	40	46	43	42	48	45	45	41	38	44	39	47	40	42	34	45	42	41	37	37	38	41	38	42	47	44	40	41	46	25	28
JSG01238	1238	51	41	43	45	45	44	42	39	41	38	39	42	40	40	43	37	35	40	41	37	47	37	42	44	41	41	47	40	59	25	26
JSG43418	43418	54	35	32	39	38	44	48	35	48	51	35	36	38	33	35	41	36	39	36	35	47	42	41	40	42	40	43	43	78	22	22
JSG14898	14898	45	37	37	38	38	41	42	35	48	43	36	38	41	34	35	44	36	41	39	35	39	43	42	41	41	38	38	41	51	33	41
JSG20082	20082	40	32	40	38	44	35	36	36	46	42	35	44	42	37	30	45	40	44	33	28	45	40	33	35	37	41	36	42	53	21	38
JSG12401	12401	36	32	36	33	45	32	35	30	42	35	36	41	36	36	34	46	32	34	32	32	39	34	38	42	33	35	33	35	52	19	51
JSG19319	19319	37	36	35	38	33	37	39	40	37	41	33	33	34	33	37	39	37	33	33	34	36	36	37	33	41	38	37	41	44	18	18
JSG22607	22607	36	37	33	32	36	36	35	30	37	36	36	29	33	32	31	40	30	33	33	32	36	32	37	29	34	36	35	32	39	21	20
JSG28270	28270	37	30	29	32	30	31	35	30	34	36	30	36	32	29	28	35	28	30	28	28	34	34	33	30	29	35	31	36	52	22	69
JSG43231	43231	34	29	30	31	32	32	34	30	31	35	26	30	31	26	30	38	27	32	29	27	29	32	28	31	27	26	29	36	41	28	27
JSG12671	12671	34	31	29	30	34	32	29	25	31	30	28	36	31	22	23	30	26	29	26	29	31	27	26	26	26	28	28	31	34	38	41
JSG25540	25540	23	26	37	31	25	30	26	23	24	24	41	31	26	26	28	39	37	24	25	28	28	28	34	41	40	21	31	31	54	17	4
JSG04329	4329	34	33	28	26	27	30	31	28	30	29	28	28	29	30	30	27	28	29	27	32	33	31	27	29	28	31	31	30	38	21	16
JSG07441	7441	34	35	30	29	25	32	36	30	32	32	30	24	27	30	30	32	24	26	31	29	27	31	30	33	29	23	32	30	41	8	21
JSG02174	2174	20	27	35	28	35	28	31	29	39	26	22	28	30	22	19	39	29	36	36	25	33	27	24	24	25	30	27	34	36	9	30
JSG09654	9654	31	29	29	30	28	25	29	26	31	28	25	31	29	31	25	25	28	32	31	29	31	29	31	33	29	27	30	29	33	15	18
JSG34819	34819	29	27	27	27	28	28	27	26	28	27	32	26	28	29	30	28	25	27	24	29	29	24	29	31	29	26	29	30	28	29	15
JSG10831	10831	19	18	26	26	26	27	31	28	31	38	26	22	22	21	21	28	17	13	22	21	27	26	27	29	33	34	32	33	83	14	6
JSG11969	11969	25	21	25	22	21	25	23	20	25	18	27	22	24	22	23	27	23	19	19	17	23	21	34	24	29	22	24	26	62	39	86
JSG25862	25862	29	26	28	28	26	28	27	26	25	27	26	28	26	27	22	27	26	25	27	24	27	29	27	29	25	28	24	30	34	14	19
JSG18876	18876	28	25	21	25	21	30	33	30	31	30	23	28	21	23	18	31	25	24	25	26	32	27	27	17	21	27	25	27	38	28	14
JSG00336	336	34	25	22	25	25	27	24	26	28	28	24	23	25	23	22	32	24	30	22	25	26	26	27	22	25	24	25	22	42	16	20
JSG27372	27372	14	24	30	25	25	23	34	25	26	28	25	27	26	23	29	37	32	26	25	29	31	22	28	31	26	26	27	25	18	8	8
JSG35636	35636	10	17	36	30	32	25	26	23	35	21	26	29	24	19	15	27	23	25	23	24	29	24	26	25	25	27	22	30	22	4	3
